,rating,review,processed_review,corrected_review
163,5,"I had upgraded from XR to 14.. So it’s amazing❤️ But if you are already using 13 means, either upgrade it to 14 pro or don’t buy this.Ditto as iPhone 13.READ MORE",upgrad xr 14 it’ amazing❤️ alreadi use 13 mean either upgrad 14 pro don’t buy thisditto iphon 13,upgrade or 14 it amazing already use 13 mean either upgrade 14 pro don't buy siphon 13
164,5,Dream come true 👍 ✨️READ MORE,dream come true 👍 ✨️,dream come true i i
165,5,Worth of money.!READ MORE,worth money,worth money
166,5,Just amazingREAD MORE,amaz,amaze
167,5,Nice product  i am so happy😊😊😊READ MORE,nice product happy😊😊😊,nice product
168,5,NiceREAD MORE,nice,nice
169,5,Perfect as per reputation of the iPhone. Having pride of owning this piece of iPhone- Assembled in India 🇮🇳READ MORE,perfect per reput iphon pride own piec iphon assembl india 🇮🇳,perfect per repute siphon pride own piece siphon assemble india i
170,4,Nothing is bad in this phone i am using it for 1 month but tbh it did not meet my expectations .Looking at the price point i beleave it should not be sold greater than 40k.This is my first Iphone i just hope in the long run i get the value in return.Its a dream for many indians to own a iphone atleast once in a life time  i believe now that there are so many offers its not as hard as owning a iphone as it was before.You should always fullfill your dream no matter what is the costREAD MORE,noth bad phone use 1 month tbh meet expect look price point beleav sold greater 40kthi first iphon hope long run get valu returnit dream mani indian iphon atleast life time believ mani offer hard own iphon beforey alway fullfil dream matter cost,not bad phone use 1 month tbe meet expect look price point bleak sold greater first siphon hope long run get value return dream mani indian siphon atleast life time believ mani offer hard own siphon before alway fulfil dream matter cost
171,5,Superb phone. Design could have been new but good performance . Purple color looks pretty decent. Light shade.READ MORE,superb phone design could new good perform purpl color look pretti decent light shade,superb phone design could new good perform purple color look pretty decent light shade
172,3,Overall good performanceREAD MORE,overal good perform,overall good perform
173,5,Nice phone🔥❤️READ MORE,nice phone🔥❤️,nice
174,4,Awesome 👍READ MORE,awesom 👍,awesome i
175,3,Performance quality is goodREAD MORE,perform qualiti good,perform quality good
176,5,"Awesome Phone, camera is too good, This is my 4 th I phone from FlipkartREAD MORE",awesom phone camera good 4 th phone flipkart,awesome phone camera good 4 the phone flippant
177,5,Good product redREAD MORE,good product red,good product red
178,5,Best phone under this price range ...READ MORE,best phone price rang,best phone price rang
179,5,nice 😍READ MORE,nice 😍,nice i
180,5,Very good ✌️😍😍✌️READ MORE,good ✌️😍😍✌️,good
181,4,"Battery life is not as good as i thought it would be. Transferring through an android phone and forgot to use move to iphone application, don't make this mistake. Otherwise overall good phone. The photos are pretty good actually ( main reason why i spend so much money behind it lol ). Other than that, it's an apple so yeah theres that.READ MORE",batteri life good thought would transfer android phone forgot use move iphon applic dont make mistak otherwis overal good phone photo pretti good actual main reason spend much money behind lol appl yeah there,battery life good thought would transfer android phone forgot use move siphon apply dont make mistak otherwise overall good phone photo pretty good actual main reason spend much money behind lol apply yeah there
182,5,Very good... Value for moneyREAD MORE,good valu money,good value money
183,5,Great ProductREAD MORE,great product,great product
184,5,Happy .....READ MORE,happi,happy
185,1,Back glass very low qualityREAD MORE,back glass low qualiti,back glass low quality
186,5,AmazingREAD MORE,amaz,amaze
187,5,Camera quality is very goodREAD MORE,camera qualiti good,camera quality good
188,5,Great experience.READ MORE,great experi,great expert
189,5,Good upgrade and at good price .READ MORE,good upgrad good price,good upgrade good price
190,5,Fabulous iphone and i love always iphoneREAD MORE,fabul iphon love alway iphon,kabul siphon love alway siphon
191,5,Nice 👍 varun tinker my phone bestREAD MORE,nice 👍 varun tinker phone best,nice i arun tinker phone best
192,4,"The Apple iPhone 14 is a great choice for anyone looking for a reliable, fast and stylish smartphone. It has a 6.1-inch OLED display that delivers vibrant colors and sharp details, and a powerful A15 Bionic chip that handles everything from gaming to multitasking with ease. The iPhone 14 also has an improved camera system that captures stunning photos and videos in any lighting condition, thanks to its 12MP wide-angle lens with optical image stabilization, Smart HDR 4 and Action mode. The iPh...READ MORE",appl iphon 14 great choic anyon look reliabl fast stylish smartphon 61inch ole display deliv vibrant color sharp detail power a15 bionic chip handl everyth game multitask eas iphon 14 also improv camera system captur stun photo video light condit thank 12mp wideangl len optic imag stabil smart hdr 4 action mode iph,apply siphon 14 great choice anyon look reliable fast stylish smartphone inch ole display deli vibrant color sharp detail power a bionic chip hands everyth game multitask eas siphon 14 also improv camera system capture stun photo video light conduit thank jump len optic image tail smart her 4 action mode ich
193,4,Powerful processorGreat display Great cameraLess batteryREAD MORE,power processorgreat display great cameraless batteri,power display great battery
194,1,"The product is fine, the buying experience was horrible. Better to avoid buying anything from Flipkart.READ MORE",product fine buy experi horribl better avoid buy anyth flipkart,product fine buy expert horrible better avoid buy anyth flippant
195,1,Not worth it..Camera sensor not really powerful although processing software is good. Good for videos not so much for stills.READ MORE,worth itcamera sensor realli power although process softwar good good video much still,worth camera sensor really power although process software good good video much still
196,2,Battery getting down fastREAD MORE,batteri get fast,battery get fast
197,5,The smoothness of the phone is excellent. Battery is okayish if you switch from android. Camera is one the best.READ MORE,smooth phone excel batteri okayish switch android camera one best,smooth phone excel battery grayish switch android camera one best
198,5,Superb 😎READ MORE,superb 😎,superb i
199,5,Awesome ProductMust buyREAD MORE,awesom productmust buy,awesome buy
200,5,I upgraded from iphone 12. Much better than iphone 12. Love itREAD MORE,upgrad iphon 12 much better iphon 12 love,upgrade siphon 12 much better siphon 12 love
201,5,I switched to 14 from Xr means LCD to OLED DISPLAY😍And the display was just awesomeBattery is effective according to daily usageTop notch performance Best in class mobile 👌🏼READ MORE,switch 14 xr mean lcd ole display😍and display awesomebatteri effect accord daili usagetop notch perform best class mobil 👌🏼,switch 14 or mean led ole display effect accord daily notch perform best class mobil i
202,5,Good 14 ❤️READ MORE,good 14 ❤️,good 14 i
203,5,Best Camera qualityREAD MORE,best camera qualiti,best camera quality
204,5,Just go for it. And starlight is lob🤍READ MORE,go starlight lob🤍,go starlight lobe
205,5,Excellent experience with iPhone. Very nice product.READ MORE,excel experi iphon nice product,excel expert siphon nice product
206,4,Product is good...bt battary is average.READ MORE,product goodbt battari averag,product good bastard average
207,5,Very nice product. Amazing 😍READ MORE,nice product amaz 😍,nice product amaze i
208,5,Oh !!! What a phone!!Purple colour looks more premium.Switching from mid range android phone to iOS is really a mesmerising feel.READ MORE,oh phonepurpl colour look premiumswitch mid rang android phone io realli mesmeris feel,oh colour look mid rang android phone io really mesmeric feel
209,5,Thanks FlipkartREAD MORE,thank flipkart,thank flippant
210,5,Nice excellentREAD MORE,nice excel,nice excel
211,1,Wasn't mobile don't buyREAD MORE,wasnt mobil dont buy,want mobil dont buy
212,4,Everything is good except camera.READ MORE,everyth good except camera,everyth good except camera
213,1,I feel sad to see the charging time and camera quality. Also double tap in back side is very unresponsive and time takingREAD MORE,feel sad see charg time camera qualiti also doubl tap back side unrespons time take,feel sad see charge time camera quality also doubt tap back side time take
214,5,Great phoneREAD MORE,great phone,great phone
215,1,Really disappointed with display and performance. Lagging in bgmi with graphics settings smooth + extreme. Hardly 50 fps. While lagging gives 25-30 fps which is frustrating for device like this.READ MORE,realli disappoint display perform lag bgmi graphic set smooth extrem hardli 50 fp lag give 2530 fp frustrat devic like,really disappoint display perform lag big graphic set smooth extreme hardly 50 up lag give 2530 up frustrate devil like
216,1,"I Purchased I phone 14 , and after 10 days it went dead, don't purchase itREAD MORE",purchas phone 14 10 day went dead dont purchas,purchase phone 14 10 day went dead dont purchase
217,5,Very nice phone. Totally worth itREAD MORE,nice phone total worth,nice phone total worth
218,1,When I put a charge phone is heatingREAD MORE,put charg phone heat,put charge phone heat
219,5,Loved it 😊READ MORE,love 😊,love i
220,5,Fantastic 🔥⚡️READ MORE,fantast 🔥⚡️,fantasy
221,5,"What a fabulous phone after using 1 monthI know in design it is similar to Iphone 13 but is specs aren't.There is substantial difference in display, battery, speed as compared to iPhone 13.Its-Battery easily lasts more than 1 day in moderate usage.Camera is fabulous.Display is excellent.Handy device.But heats sometimes while executing smaller tasks.I have Iphone Xs max. Its was a drastic upgrade from the same in terms of display, battery, speed ie hardware.But more concerning is ...READ MORE",fabul phone use 1 monthi know design similar iphon 13 spec arentther substanti differ display batteri speed compar iphon 13itsbatteri easili last 1 day moder usagecamera fabulousdisplay excellenthandi devicebut heat sometim execut smaller tasksi iphon xs max drastic upgrad term display batteri speed ie hardwarebut concern,kabul phone use 1 months know design similar siphon 13 spec substantia differ display battery speed compare siphon easily last 1 day modern heat sometime execute smaller tasks siphon is max drastic upgrade term display battery speed ie concern
222,5,Superb product love it ❤️READ MORE,superb product love ❤️,superb product love i
223,5,Very nice lookREAD MORE,nice look,nice look
224,5,AwesomeREAD MORE,awesom,awesome
225,5,Awesome Product Apple Fast deliveryREAD MORE,awesom product appl fast deliveri,awesome product apply fast deliver
226,5,Really awesome and geniune product provided by flipkart . Thank you so much for making my life happy. All things are great not a single defect in this unit.READ MORE,realli awesom geniun product provid flipkart thank much make life happi thing great singl defect unit,really awesome genius product provide flippant thank much make life happy thing great single defect unit
227,5,amazing product😊nice flipkart service😍I'm happy🤗READ MORE,amaz product😊nic flipkart service😍im happy🤗,amaze flippant happy
228,5,upgraded with my I phone 12 and satisfied with product. the experience u can get once u have it.READ MORE,upgrad phone 12 satisfi product experi u get u,upgrade phone 12 satisfy product expert u get u
229,5,Nice productREAD MORE,nice product,nice product
230,5,Excellent.READ MORE,excel,excel
231,5,"The iPhone 14 is a standout device in Apple's latest lineup. With its sleek design, powerful hardware and improved cameras, it's a must-have for any tech enthusiast.Pros:    Powerful hardware with the A16 chip.    Improved camera quality.    Long battery life.    Sleek design with premium build quality.    Improved display technology for an immersive experience.    Great operating system with a large app store.Cons:    Expensive compared to other smartphones.    No headphone jack...READ MORE",iphon 14 standout devic appl latest lineup sleek design power hardwar improv camera musthav tech enthusiastpro power hardwar a16 chip improv camera qualiti long batteri life sleek design premium build qualiti improv display technolog immers experi great oper system larg app storecon expens compar smartphon headphon jack,siphon 14 standout devil apply latest lineup sleek design power hardware improv camera musthave tech power hardware a chip improv camera quality long battery life sleek design premium build quality improv display technology immerse expert great over system large app expense compare smartphone headphone jack
232,1,GoodREAD MORE,good,good
233,1,Heating issue. Phone gets heated on charing. on using camera sometimes on idle.Waste of 70K. Ten thousand rupees Android phones worked better for me.Go for it only for showoffREAD MORE,heat issu phone get heat chare use camera sometim idlewast 70k ten thousand rupe android phone work better mego showoff,heat issue phone get heat care use camera sometime ask ten thousand rule android phone work better ego showoff
234,5,NiceREAD MORE,nice,nice
235,3,Camera quality very dirtyREAD MORE,camera qualiti dirti,camera quality dirty
236,5,Superb 😍READ MORE,superb 😍,superb i
237,1,Build quality is very bad after days speaker is not warm fineREAD MORE,build qualiti bad day speaker warm fine,build quality bad day speaker warm fine
238,5,"Genuine and nice,worthy upgrade considering technical enhancements over IPhone 13(may not be for 13 users),like better sensor and low light performance, extra 2gb ram,5 core Gpu(as in 13 pro) and  longer ios support.New ios 16 is stable.Flipkart service is good.READ MORE",genuin niceworthi upgrad consid technic enhanc iphon 13may 13 userslik better sensor low light perform extra 2gb ram5 core gpua 13 pro longer io supportnew io 16 stableflipkart servic good,genuine upgrade consider technics enhance siphon may 13 better sensor low light perform extra go ram core gpa 13 pro longer io supported io 16 service good
239,5,This iPhone Camera is very good👍 and Display is Really good iphone 14 is very Handi . My opinion this iPhone 14 is Valu of Money.READ MORE,iphon camera good👍 display realli good iphon 14 handi opinion iphon 14 valu money,siphon camera good display really good siphon 14 hands opinion siphon 14 value money
240,5,All rounder phoneHandy phoneBest camera battery performanceREAD MORE,rounder phonehandi phonebest camera batteri perform,rounder camera battery perform
241,5,Very niceREAD MORE,nice,nice
242,5,Nice productREAD MORE,nice product,nice product
243,5,sound quality is superb ❤️🤗READ MORE,sound qualiti superb ❤️🤗,sound quality superb
244,2,Battery back up is to low hitting issueREAD MORE,batteri back low hit issu,battery back low hit issue
245,5,NiceREAD MORE,nice,nice
246,2,"Actually really to much expensive, we expending 70k and  not giving adopter with mobile, only have brand, nothing have in iPhone, so better go Android phone onlyREAD MORE",actual realli much expens expend 70k give adopt mobil brand noth iphon better go android phone,actual really much expense expend ask give adopt mobil brand not siphon better go android phone
247,5,Best phoneREAD MORE,best phone,best phone
248,5,"One of the Best Phone from Apple , Battery Life Too Good with 2 Lines (1Physical , another Virtual sim) last for about one and half day for normal usage , really improved by apple  , Thanks for that.READ MORE",one best phone appl batteri life good 2 line 1physic anoth virtual sim last one half day normal usag realli improv appl thank,one best phone apply battery life good 2 line physic anyth virtual sim last one half day normal usage really improv apply thank
249,5,Everything is perfectREAD MORE,everyth perfect,everyth perfect
250,5,I have recently shifted from android flagship to IOS and what an experience it is ❤️READ MORE,recent shift android flagship io experi ❤️,recent shift android flagship io expert i
251,1,Not worth itREAD MORE,worth,worth
252,5,AmazingREAD MORE,amaz,amaze
253,4,Flawless performance for the past 3 months. Was using android phones till now. I think android is much easier to use on a day to day basis. IOS is also good but more complicated to use. Phone is perfect.READ MORE,flawless perform past 3 month use android phone till think android much easier use day day basi io also good complic use phone perfect,flawless perform past 3 month use android phone till think android much easier use day day base io also good complex use phone perfect
254,5,In love with the camera🤌🏻READ MORE,love camera🤌🏻,love camera
255,5,"I bought red variant of this one. It's truly amazing. Everything is perfect, but the battery should be improved. Switched to iOS from Android. Mobile's cooling system is good. I think it's no need to talk about the camera quality 💥💥READ MORE",bought red variant one truli amaz everyth perfect batteri improv switch io android mobil cool system good think need talk camera qualiti 💥💥,bought red variant one truly amaze everyth perfect battery improv switch io android mobil cool system good think need talk camera quality i
256,1,Defective product overheatREAD MORE,defect product overheat,defect product overheat
257,5,ExcellentREAD MORE,excel,excel
258,5,SatisfyingREAD MORE,satisfi,satisfy
259,5,Super quality best productREAD MORE,super qualiti best product,super quality best product
260,5,Very nice photos.READ MORE,nice photo,nice photo
261,5,AmazingREAD MORE,amaz,amaze
262,4,Wow nice oneREAD MORE,wow nice one,wow nice one
263,3,Producing huge heat compared to other modelsREAD MORE,produc huge heat compar model,produce huge heat compare model
264,5,Best 🫡READ MORE,best 🫡,best i
265,4,Good product but expensiveREAD MORE,good product expens,good product expense
266,4,Everything is goodREAD MORE,everyth good,everyth good
267,3,Super productREAD MORE,super product,super product
268,5,Nice productREAD MORE,nice product,nice product
269,1,After purchasing with in 3-4 days display not working properly poor performanceREAD MORE,purchas 34 day display work properli poor perform,purchase 34 day display work properly poor perform
270,5,SuperbREAD MORE,superb,superb
271,5,Great product.Fantastic performance.READ MORE,great productfantast perform,great perform
272,3,The battery back up is poor. The product gets heated very often.. not worth the priceREAD MORE,batteri back poor product get heat often worth price,battery back poor product get heat often worth price
273,5,This is amazingREAD MORE,amaz,amaze
274,5,Product colour very beautiful and camera quality excellent.READ MORE,product colour beauti camera qualiti excel,product colour beauty camera quality excel
275,4,This is my first time using an iPhone and the experience has been nothing but seamless and amazing to say nonetheless 💯The only issue thus far has been a lil bit overheating while chargingREAD MORE,first time use iphon experi noth seamless amaz say nonetheless 💯the issu thu far lil bit overh charg,first time use siphon expert not seamless amaze say nonetheless the issue thu far lil bit over charge
276,5,ExcellentREAD MORE,excel,excel
277,5,NcieREAD MORE,ncie,nice
278,4,NiceREAD MORE,nice,nice
279,1,This is worst product I recieved in my lifetime.Always regret.Not working my iphone properlyREAD MORE,worst product reciev lifetimealway regretnot work iphon properli,worst product receive work siphon properly
280,5,NiceREAD MORE,nice,nice
281,5,Camera betray display such a wowREAD MORE,camera betray display wow,camera betray display wow
282,5,Excellent phoneREAD MORE,excel phone,excel phone
283,1,DisgustingREAD MORE,disgust,disgust
284,5,awesome mobileREAD MORE,awesom mobil,awesome mobil
285,5,iPhone is iPhone. It was an upgrade from iPhone x to iPhone 14 . Its always for my wife.100% satisfied with product and deliveryREAD MORE,iphon iphon upgrad iphon x iphon 14 alway wife100 satisfi product deliveri,siphon siphon upgrade siphon i siphon 14 alway satisfy product deliver
286,5,ExcellentREAD MORE,excel,excel
287,5,Delicious 😋READ MORE,delici 😋,device i
288,5,Wonderful product ❤️READ MORE,wonder product ❤️,wonder product i
289,5,Worth it each pennyREAD MORE,worth penni,worth penny
290,5,GoodREAD MORE,good,good
291,5,Great 👍READ MORE,great 👍,great i
292,5,Simply superbREAD MORE,simpli superb,simple superb
293,4,nice coolREAD MORE,nice cool,nice cool
294,5,nice displayREAD MORE,nice display,nice display
295,3,"Normal iphone performance, nothing new. Average iphone.READ MORE",normal iphon perform noth new averag iphon,normal siphon perform not new average siphon
296,4,Good.READ MORE,good,good
297,5,"All day Battery life, no heating, extreme smooth performace.I would suggest getting iphone 14 over iphone 13 as it has 2 extra GB ram iphon 13 pro processorREAD MORE",day batteri life heat extrem smooth performacei would suggest get iphon 14 iphon 13 2 extra gb ram iphon 13 pro processor,day battery life heat extreme smooth performance would suggest get siphon 14 siphon 13 2 extra go ram siphon 13 pro processor
298,5,AwesomeREAD MORE,awesom,awesome
299,5,This is not my first iPhone. Have been using them for close to a decade now. Had 12 mini - battery back was an issue. Have for the iPhone 14 now. No complaints !!READ MORE,first iphon use close decad 12 mini batteri back issu iphon 14 complaint,first siphon use close dead 12 mini battery back issue siphon 14 complaint
300,5,Verry niceREAD MORE,verri nice,terri nice
301,5,Excallent item i phone 14READ MORE,excal item phone 14,excel item phone 14
302,5,Nice phone ❤️ I PHONE 14 ❤️READ MORE,nice phone ❤️ phone 14 ❤️,nice phone i phone 14 i
303,5,Wow colourREAD MORE,wow colour,wow colour
304,5,Design superbREAD MORE,design superb,design superb
305,5,I love I phone🥰🥰🥰🤗🤗🤗🤗READ MORE,love phone🥰🥰🥰🤗🤗🤗🤗,love
306,5,"Within one day we got  the delivery thanks Flipkart, nice  delivery person he showed everything in front of me am very much happy and satisfied with service and mobile it's my dream comes true 😍READ MORE",within one day got deliveri thank flipkart nice deliveri person show everyth front much happi satisfi servic mobil dream come true 😍,within one day got deliver thank flippant nice deliver person show everyth front much happy satisfy service mobil dream come true i
307,5,"We can say tha it is value for money product , great camera quality,  eye catching design.READ MORE",say tha valu money product great camera qualiti eye catch design,say tha value money product great camera quality eye catch design
308,5,I switch from iphone 7 to iphone 14 and only i said Great experience 👍READ MORE,switch iphon 7 iphon 14 said great experi 👍,switch siphon 7 siphon 14 said great expert i
309,5,PerfectREAD MORE,perfect,perfect
310,5,i have given gift to my wife on birthday 😍 updated from iphone 7 to iphone 14 .READ MORE,given gift wife birthday 😍 updat iphon 7 iphon 14,given gift wife birthday i update siphon 7 siphon 14
311,4,Overall good delivery and qualityREAD MORE,overal good deliveri qualiti,overall good deliver quality
312,3,Nice phone with great performance and batteryREAD MORE,nice phone great perform batteri,nice phone great perform battery
313,5,FabulousREAD MORE,fabul,kabul
314,5,GoodREAD MORE,good,good
315,5,Good qualityREAD MORE,good qualiti,good quality
316,5,classicREAD MORE,classic,classic
317,5,Nice...READ MORE,nice,nice
318,5,Soooperb camera and brilliant performance 😘😘😘😘😘😘READ MORE,soooperb camera brilliant perform 😘😘😘😘😘😘,snooper camera brilliant perform
319,5,"Camera: Rear Camera is Too GoodFront Camera : Average Performance : BeastSecurity : BestSoftware : BestiPhone 14 is a complete package, go for it without any hesitation. This phone changed me from Android Fanboy to iPhone fanboy.READ MORE",camera rear camera goodfront camera averag perform beastsecur bestsoftwar bestiphon 14 complet packag go without hesit phone chang android fanboy iphon fanboy,camera rear camera camera average perform 14 complete package go without heist phone chang android fanboy siphon fanboy
320,5,Nice productREAD MORE,nice product,nice product
321,5,Fantastic product from apple. Was worried about delivery. Flipkart has ensured safe and tension free deliveryREAD MORE,fantast product appl worri deliveri flipkart ensur safe tension free deliveri,fantasy product apply worry deliver flippant ensure safe tension free deliver
322,5,NiceREAD MORE,nice,nice
323,5,NiceREAD MORE,nice,nice
324,5,Wonderful !READ MORE,wonder,wonder
325,5,Fast service by Flipkart 👌READ MORE,fast servic flipkart 👌,fast service flippant i
326,5,Very nice phone. Great camera quality and good battery back upREAD MORE,nice phone great camera qualiti good batteri back,nice phone great camera quality good battery back
327,4,Fabulous mobile phone. Fall in ❤😘 with apple. First apple product to use.READ MORE,fabul mobil phone fall ❤😘 appl first appl product use,kabul mobil phone fall i apply first apply product use
328,4,This mine 3rd IPhone Model iPhone 5s : Best one when I started android to appleiPhone 6s : Best Camera Poor Battery Finally iPhone 14 One of best iPhone i used : fantastic camera : Good battery life. Super fast face lock system. Good charger comparing old iPhones. Happy to having this powerful iPhone-14.READ MORE,mine 3rd iphon model iphon 5s best one start android appleiphon 6s best camera poor batteri final iphon 14 one best iphon use fantast camera good batteri life super fast face lock system good charger compar old iphon happi power iphone14,mine ord siphon model siphon is best one start android is best camera poor battery final siphon 14 one best siphon use fantasy camera good battery life super fast face lock system good charger compare old siphon happy power iphone
329,5,Outstanding purchaseREAD MORE,outstand purchas,outstayed purchase
330,5,product is awesome but price is little highREAD MORE,product awesom price littl high,product awesome price little high
331,5,"From Android to ios , Very good Experience , Videos and Photos Quality are Far Better than mobile I have used in the pastREAD MORE",android io good experi video photo qualiti far better mobil use past,android io good expert video photo quality far better mobil use past
332,4,Good phone Nice in oneREAD MORE,good phone nice one,good phone nice one
333,5,I love the phone i purchased it to gift my husband the camera battery everything is fine thanks a lot for the fast deliveryREAD MORE,love phone purchas gift husband camera batteri everyth fine thank lot fast deliveri,love phone purchase gift husband camera battery everyth fine thank lot fast deliver
334,5,ThanksREAD MORE,thank,thank
335,5,I'm happy with the phone and the deal I got from the Flipkart.READ MORE,im happi phone deal got flipkart,im happy phone deal got flippant
336,5,Very nice phone. Ordered midnight Black though it is little greenish black in colurREAD MORE,nice phone order midnight black though littl greenish black colur,nice phone order midnight black though little greenish black color
337,5,"Everything is well and good. But camera performance in artificial light is not upto the mark. Battery mAH is less, however you can handle it smartly.READ MORE",everyth well good camera perform artifici light upto mark batteri mah less howev handl smartli,everyth well good camera perform artifice light unto mark battery mah less howe hands smartly
338,5,"amazing picture quality , love you Apple .READ MORE",amaz pictur qualiti love appl,amaze pictur quality love apply
339,4,NiceREAD MORE,nice,nice
340,5,Best!!!!!READ MORE,best,best
341,4,camera is not as expected at evening as pictures are so dull and not bright.so much dissipointed when compare camera even with s21fe or one plus nord or other premium phones.at bright sunlight or in a bright light at night pictures are so good in portrait mode.selfies in low light are terrible. looks like camera under 10k phone.battery is good and last for day easily.performance is so good.display may be if 90hz it will be good at this price range.READ MORE,camera expect even pictur dull brightso much dissipoint compar camera even s21fe one plu nord premium phonesat bright sunlight bright light night pictur good portrait modeselfi low light terribl look like camera 10k phonebatteri good last day easilyperform gooddisplay may 90hz good price rang,camera expect even pictur dull brights much dissapoint compare camera even safe one plus word premium honest bright sunlight bright light night pictur good portrait low light terrible look like camera ask good last day may good price rang
342,5,Apple always doing bestREAD MORE,appl alway best,apply alway best
343,5,Excellent product  loved it recommendedREAD MORE,excel product love recommend,excel product love recommend
344,5,value for moneyREAD MORE,valu money,value money
345,5,Beautiful great value for moneyREAD MORE,beauti great valu money,beauty great value money
346,5,FineREAD MORE,fine,fine
347,5,Great phone with great features..READ MORE,great phone great featur,great phone great feature
348,5,good design good cameragood battery backup best mobileREAD MORE,good design good cameragood batteri backup best mobil,good design good battery backup best mobil
349,5,What a gadget !!!Perfect beast.READ MORE,gadget perfect beast,gadget perfect beast
350,1,BadREAD MORE,bad,bad
351,1,"Freezes a lot, camera and display are not average which is not expected from an iphoneREAD MORE",freez lot camera display averag expect iphon,free lot camera display average expect siphon
352,5,"What a phone, first time i purchased the I phone over Android, and fully satisfied on every acepects. Camera undoubtedly ossaam. RAM and storage also nice. No lagging , smooth performance. Build quality too good. UI extraordinary. Overall value for money product.READ MORE",phone first time purchas phone android fulli satisfi everi acepect camera undoubtedli ossaam ram storag also nice lag smooth perform build qualiti good ui extraordinari overal valu money product,phone first time purchase phone android full satisfy ever aspect camera undoubtedly osama ram storage also nice lag smooth perform build quality good i extraordinary overall value money product
353,5,Worth buying ❤️READ MORE,worth buy ❤️,worth buy i
354,5,This is a totally monster in performance and daily usage the cons are 1. Selfie camera need to be more better 2. Ios 16 has battery drain issue hope they will fix it in next ios update(17).. conclusion if you want to upgrade to this iphone you should.READ MORE,total monster perform daili usag con 1 selfi camera need better 2 io 16 batteri drain issu hope fix next io update17 conclus want upgrad iphon,total monster perform daily usage con 1 self camera need better 2 io 16 battery drain issue hope fix next io update conclude want upgrade siphon
355,4,Good in-hand feel Premium designSharp displayPerformance of A15 bionic chip is extremely goodDual speakers are clear and loudBattery could have been betterOverall performance is better than iphone13READ MORE,good inhand feel premium designsharp displayperform a15 bionic chip extrem gooddual speaker clear loudbatteri could betteroveral perform better iphone13,good inland feel premium a bionic chip extreme speaker clear could perform better iphone
356,5,My first experience with apple phone is great…This phone is awesome and I love light purple colour…i m so happy thank u Flipkart 🥰READ MORE,first experi appl phone great…thi phone awesom love light purpl colour…i happi thank u flipkart 🥰,first expert apply phone phone awesome love light purple colour happy thank u flippant i
357,1,"I am facing too many glitches in this phone, Screen is freezing whenever I am trying to unlock my phone.READ MORE",face mani glitch phone screen freez whenev tri unlock phone,face mani glitch phone screen free when tri unlock phone
358,5,Apple has maintained its quality and if your budget is tight or you want to buy this for the person who doesn’t understand micro technology ( previous generation) then this is perfect choice.READ MORE,appl maintain qualiti budget tight want buy person doesn’t understand micro technolog previou gener perfect choic,apply maintain quality budget tight want buy person doesn't understand micro technology previous gene perfect choice
359,5,Brilliant satisfied of iPhone 14READ MORE,brilliant satisfi iphon 14,brilliant satisfy siphon 14
360,5,"Loved it, my first iphone btw box quality wasnt goodREAD MORE",love first iphon btw box qualiti wasnt good,love first siphon bow box quality want good
361,1,"Only performance good.. battery service is very bad, display size or feel  2014 genaration phone, oneplus, nothing phone is best..READ MORE",perform good batteri servic bad display size feel 2014 genar phone oneplu noth phone best,perform good battery service bad display size feel 2014 gear phone one'll not phone best
362,1,Nice picture qualityREAD MORE,nice pictur qualiti,nice pictur quality
363,5,it is an amazing productREAD MORE,amaz product,amaze product
364,5,Best PerformanceREAD MORE,best perform,best perform
365,5,Excellent smart phone under best price😎READ MORE,excel smart phone best price😎,excel smart phone best price
366,5,You ever Heard the word Satisfaction...Yesss that is exactly how it feels to have it.READ MORE,ever heard word satisfactionyesss exactli feel,ever heard word exactly feel
367,5,Very nice this phoneREAD MORE,nice phone,nice phone
368,3,Automatic call recorder not there like Samsung. The biggest draw back. Camera quality not as expected.READ MORE,automat call record like samsung biggest draw back camera qualiti expect,automat call record like sassing biggest draw back camera quality expect
369,2,Best quality..... Battery but camera not goodREAD MORE,best qualiti batteri camera good,best quality battery camera good
370,5,Great product at this price range i am very happy to get this productREAD MORE,great product price rang happi get product,great product price rang happy get product
371,1,No issues with product but flipkart services very badREAD MORE,issu product flipkart servic bad,issue product flippant service bad
372,5,Super Quality Best Picture ExperianceREAD MORE,super qualiti best pictur experi,super quality best pictur expert
373,4,Android is best for worksiPhone is best for officers and vipsREAD MORE,android best worksiphon best offic vip,android best best office vip
374,1,Charger not available in box waste for money camera using time over heating issueREAD MORE,charger avail box wast money camera use time heat issu,charger avail box wast money camera use time heat issue
375,5,Loved the colour 💜READ MORE,love colour 💜,love colour i
376,5,Yellow Color is awesome in this segmentREAD MORE,yellow color awesom segment,yellow color awesome segment
377,5,Nice productREAD MORE,nice product,nice product
378,5,"Perfect of All Times.Best in Battery Life, Charging Speed,Quality ,Camera and the Comfort of its Size..Love itCamera is Insane for Camera Lovers. Night Modes are ExcellentREAD MORE",perfect timesbest batteri life charg speedqual camera comfort sizelov itcamera insan camera lover night mode excel,perfect battery life charge camera comfort camera insane camera lover night mode excel
379,5,Latest and greatest from Apple.READ MORE,latest greatest appl,latest greatest apply
380,5,Overall good experience till now!!READ MORE,overal good experi till,overall good expert till
381,5,Good camera 👍READ MORE,good camera 👍,good camera i
382,4,GoodREAD MORE,good,good
